gtpath, predpath, gt numsyms, pred numsyms, SEC (symbol edit cost), SECR (SEC / total numsyms)
/Users/gregc/Documents/test/greg_results/gt/135_.kern, /Users/gregc/Documents/test/greg_results/pred/135_.kern, 328, 275, 381, 0.6318407960199005
/Users/gregc/Documents/test/greg_results/gt/108_.kern, /Users/gregc/Documents/test/greg_results/pred/108_.kern, 230, 221, 435, 0.9645232815964523
/Users/gregc/Documents/test/greg_results/gt/524_.kern, /Users/gregc/Documents/test/greg_results/pred/524_.kern, 220, 238, 221, 0.48253275109170307
/Users/gregc/Documents/test/greg_results/gt/209_.kern, /Users/gregc/Documents/test/greg_results/pred/209_.kern, 223, 222, 371, 0.8337078651685393
/Users/gregc/Documents/test/greg_results/gt/439_.kern, /Users/gregc/Documents/test/greg_results/pred/439_.kern, 170, 134, 232, 0.7631578947368421
/Users/gregc/Documents/test/greg_results/gt/1_.kern, /Users/gregc/Documents/test/greg_results/pred/1_.kern, 222, 169, 296, 0.7570332480818415
/Users/gregc/Documents/test/greg_results/gt/314_.kern, /Users/gregc/Documents/test/greg_results/pred/314_.kern, 98, 101, 131, 0.6582914572864321
/Users/gregc/Documents/test/greg_results/gt/351_.kern, /Users/gregc/Documents/test/greg_results/pred/351_.kern, 381, 338, 432, 0.6008344923504868
/Users/gregc/Documents/test/greg_results/gt/526_.kern, /Users/gregc/Documents/test/greg_results/pred/526_.kern, 215, 207, 274, 0.6492890995260664
/Users/gregc/Documents/test/greg_results/gt/58_.kern, /Users/gregc/Documents/test/greg_results/pred/58_.kern, 245, 246, 64, 0.13034623217922606
/Users/gregc/Documents/test/greg_results/gt/483_.kern, /Users/gregc/Documents/test/greg_results/pred/483_.kern, 102, 127, 107, 0.4672489082969432
/Users/gregc/Documents/test/greg_results/gt/3_.kern, /Users/gregc/Documents/test/greg_results/pred/3_.kern, 213, 198, 309, 0.7518248175182481
/Users/gregc/Documents/test/greg_results/gt/316_.kern, /Users/gregc/Documents/test/greg_results/pred/316_.kern, 222, 218, 178, 0.40454545454545454
/Users/gregc/Documents/test/greg_results/gt/353_.kern, /Users/gregc/Documents/test/greg_results/pred/353_.kern, 249, 241, 192, 0.39183673469387753
/Users/gregc/Documents/test/greg_results/gt/406_.kern, /Users/gregc/Documents/test/greg_results/pred/406_.kern, 330, 307, 447, 0.7017268445839875
/Users/gregc/Documents/test/greg_results/gt/443_.kern, /Users/gregc/Documents/test/greg_results/pred/443_.kern, 317, 299, 76, 0.12337662337662338
/Users/gregc/Documents/test/greg_results/gt/393_.kern, /Users/gregc/Documents/test/greg_results/pred/393_.kern, 203, 194, 128, 0.3224181360201511
/Users/gregc/Documents/test/greg_results/gt/137_.kern, /Users/gregc/Documents/test/greg_results/pred/137_.kern, 283, 80, 312, 0.859504132231405
/Users/gregc/Documents/test/greg_results/gt/65_.kern, /Users/gregc/Documents/test/greg_results/pred/65_.kern, 329, 230, 326, 0.5831842576028623
/Users/gregc/Documents/test/greg_results/gt/20_.kern, /Users/gregc/Documents/test/greg_results/pred/20_.kern, 277, 243, 426, 0.8192307692307692
/Users/gregc/Documents/test/greg_results/gt/273_.kern, /Users/gregc/Documents/test/greg_results/pred/273_.kern, 218, 203, 247, 0.5866983372921615
/Users/gregc/Documents/test/greg_results/gt/236_.kern, /Users/gregc/Documents/test/greg_results/pred/236_.kern, 131, 149, 194, 0.6928571428571428
/Users/gregc/Documents/test/greg_results/gt/98_.kern, /Users/gregc/Documents/test/greg_results/pred/98_.kern, 160, 172, 274, 0.8253012048192772
/Users/gregc/Documents/test/greg_results/gt/422_.kern, /Users/gregc/Documents/test/greg_results/pred/422_.kern, 193, 197, 277, 0.7102564102564103
/Users/gregc/Documents/test/greg_results/gt/257_.kern, /Users/gregc/Documents/test/greg_results/pred/257_.kern, 191, 214, 286, 0.7061728395061728
/Users/gregc/Documents/test/greg_results/gt/212_.kern, /Users/gregc/Documents/test/greg_results/pred/212_.kern, 212, 212, 9, 0.02122641509433962
